Repository name,RQ1 - Repository age (days),RQ2 - Total pull requests accepted,RQ3 - Total releases,RQ4 - Time since last update (days),RQ5 - Primary language,RQ6 - Issues closed percentage
jumpserver,3527,5912,215,-1,Python,0.9899849774661993
vscodium,2026,413,176,-1,Shell,0.9085365853658537
upscayl,579,45,21,-1,TypeScript,0.9459459459459459
homebridge,3377,306,35,0,TypeScript,0.9932236205227493
Avalonia,3738,4447,73,-1,C#,0.8000632711167353
react-navigation,2590,1119,1000,0,TypeScript,0.9269391696169939
celery,5424,2263,46,0,Python,0.877481451774614
exa,3570,229,12,-1,Rust,0.7281001137656428
streisand,3629,527,0,0,Shell,0.8149122807017544
copilot-docs,859,9,0,0,N/A,0
wiki,2753,366,116,0,Vue,0.9761904761904762
mostly-adequate-guide,3221,274,3,-1,JavaScript,0.7328519855595668
tiptap,2019,669,317,0,TypeScript,0.8409090909090909
skywalking,3036,4409,58,-1,Java,0.989213571288488
textual,1057,1543,91,0,Python,0.9084639498432602
so-vits-svc,356,153,0,-1,Python,0.8384615384615385
dapr,1716,3258,231,0,Go,0.8921248142644874
restic,3595,1841,42,-1,Go,0.8306645316253003
Rocket,2904,16,56,0,Rust,0.9640479360852197
vnpy,3286,1014,58,0,Python,0.9960474308300395
ML-From-Scratch,2580,9,0,-1,Python,0.5362318840579711
libuv,3743,945,9,-1,C,0.9210998206814106
guzzle,4749,921,62,-1,PHP,0.9885807504078303
CodeHub,3872,13,4,0,C#,0.634375
flink,3554,8752,0,0,Java,0
k6,2901,1572,58,0,Go,0.7765330188679245
filebrowser,3093,455,55,0,Go,0.9670761670761671
plane,467,2914,28,-1,TypeScript,0.5278219395866455
bubbletea,1511,376,31,-1,Go,0.78099173553719
highlight.js,4806,1426,37,0,JavaScript,0.9534769833496572
gson,3269,632,6,-1,Java,0.8447401774397972
modern-cpp-tutorial,2750,107,3,-1,C++,0.940677966101695
flameshot,2486,813,25,0,C++,0.7679794520547946
pumpkin-book,1895,46,8,0,N/A,0.7571428571428571
sails,4365,546,42,0,JavaScript,0.921205462250824
nanoid,2399,179,2,-1,JavaScript,0.974025974025974
awesome-falsehood,2730,98,0,-1,N/A,0.9285714285714286
howler.js,4049,128,25,-1,JavaScript,0.7594202898550725
fyne,2215,1565,43,-1,Go,0.7607599844901124
JARVIS,336,23,0,0,Python,0.5804597701149425
refined-github,2936,2882,131,-1,TypeScript,0.9649398220826793
awesome-datascience,3526,343,7,0,N/A,1.0
hub,5198,402,60,0,Go,0.8806930693069307
flv.js,2849,20,15,0,JavaScript,0.42386831275720166
octotree,3583,249,0,0,JavaScript,0.9583333333333334
element-plus,1318,5053,181,0,TypeScript,0.8006446414182111
elixir,4799,6756,144,-1,Elixir,0.9971455756422455
