Repository name,RQ1 - Repository age (days),RQ2 - Total pull requests accepted,RQ3 - Total releases,RQ4 - Time since last update (days),RQ5 - Primary language,RQ6 - Issues closed percentage
Real-Time-Voice-Cloning,1740,48,0,-1,Python,0.835216572504708
nerd-fonts,3373,417,34,-1,CSS,0.9500554938956715
new-pac,2899,0,0,-1,N/A,0.7503259452411994
sherlock,1893,532,0,-1,Python,0.9169510807736063
material-design-icons,3431,44,16,-1,N/A,0.789435069699193
gpt-engineer,306,273,17,-1,Python,0.9408983451536643
guava,3563,481,42,-1,Java,0.8198019801980198
you-get,4210,569,118,-1,Python,0
git,5699,3,0,-1,C,0
awesome-chatgpt-prompts-zh,444,30,0,-1,N/A,0.5934065934065934
awesome-android-ui,3354,90,0,0,N/A,0.8761904761904762
faceswap,2263,354,4,0,Python,0.9810650887573964
act,1884,863,67,-1,Go,0.8238095238095238
anime,2909,72,15,0,JavaScript,0.71671388101983
privateGPT,303,137,5,-1,Python,0.8849840255591054
jekyll,5610,3123,109,-1,Ruby,0.9780655943179445
bulma,2958,610,17,-1,CSS,0.9134768740031898
prettier,2648,7903,113,0,JavaScript,0.8317337461300309
moment,4748,714,0,0,JavaScript,0.9504273504273504
tldr,3735,9900,4,0,Markdown,0.8816855753646677
RxJava,4069,3178,233,-1,Java,0.9958703939008895
rustlings,3089,793,39,-1,Rust,0.7655417406749556
hacker-scripts,3022,63,0,0,JavaScript,0.4875
kotlin,4399,2054,219,-1,Kotlin,0
traefik,3091,3991,406,0,Go,0.8879144009822838
AppFlowy,988,2181,62,-1,Dart,0.6941340782122905
openpilot,2653,9034,54,-1,Python,0.9218381775333857
uptime-kuma,971,1022,102,-1,JavaScript,0.8132646490663232
DefinitelyTyped,4164,48883,1,-1,TypeScript,0.9332249593597599
rich,1572,738,161,-1,Python,0.8617623282134196
ghidra,1826,407,33,0,Java,0.7031953195319532
pi-hole,3553,1788,102,-1,Shell,0.9867809932118614
chinese-poetry,2736,134,1,0,JavaScript,0.45549738219895286
ChatGPT,449,119,34,-1,Rust,0.3635346756152125
serverless,3236,4505,373,-1,JavaScript,0.8237885462555066
algorithm-visualizer,2846,183,0,0,JavaScript,0.6727272727272727
cypress,3284,5882,331,-1,JavaScript,0.901576511426092
etcd,3889,8311,231,-1,Go,0.9692379038491266
big-list-of-naughty-strings,3127,90,0,0,Python,0.3368421052631579
drawio-desktop,2471,19,128,0,JavaScript,0.8735806207418623
leetcode-master,1538,1990,0,0,Shell,0.2955665024630542
bypass-paywalls-chrome,2154,132,33,-1,JavaScript,1.0
mastodon,2929,13898,242,-1,Ruby,0.6568857223211775
pdf.js,4692,6980,59,0,JavaScript,0.963052887152961
bat,2140,1266,40,-1,Rust,0.8271134805788272
yolov5,1382,2065,10,-1,Python,0.9858522344486863
dayjs,2151,682,116,-1,JavaScript,0.5196141479099678
awesome-ios,3521,2212,0,-1,Swift,0.9978858350951374
Ghost,3953,10302,749,-1,JavaScript,0.995008075172515
go-ethereum,3717,6940,190,-1,Go,0.9670132203824926
okhttp,4238,3322,0,-1,Kotlin,0.9741010812169978
learn-regex,2413,124,0,0,N/A,0.4117647058823529
project-layout,2364,79,0,0,Makefile,0.3867924528301887
mkcert,2075,52,14,-1,Go,0.7129909365558912
